,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
454,The Life of David Gale,2003,7.6,31.0,106122,19.59,130
455,Before Midnight,2013,7.9,94.0,134427,8.11,109
456,The Sting,1973,8.3,83.0,234148,159.6,129
457,The Remains of the Day,1993,7.8,84.0,63216,22.95,134
458,Traffic,2000,7.6,86.0,192071,124.12,147
459,When Harry Met Sally...,1989,7.6,76.0,188630,92.82,95
460,7 Kogustaki Mucize,2019,8.3,,26636,,132
461,The Royal Tenenbaums,2001,7.6,76.0,258963,52.36,110
462,A Silent Voice: The Movie,2016,8.2,78.0,38241,,130
463,Road to Perdition,2002,7.7,72.0,240818,104.45,117
464,Ponyo,2008,7.7,86.0,117851,15.09,101
465,Escape from Alcatraz,1979,7.6,76.0,114459,43.0,112
466,Ben-Hur,1959,8.1,90.0,213095,74.7,212
467,Fried Green Tomatoes,1991,7.7,64.0,64789,82.42,130
468,Kung Fu Hustle,2004,7.7,78.0,123519,17.11,99
469,Goldfinger,1964,7.7,87.0,167517,51.08,110
470,The Boy in the Striped Pajamas,2008,7.8,55.0,184127,9.03,94
471,Akira,1988,8.0,,157037,0.55,124
472,Serpico,1973,7.7,87.0,105061,29.8,130
473,The Last Picture Show,1971,8.0,93.0,40722,29.13,118
474,The Jungle Book,1967,7.6,65.0,160961,141.84,78
475,127 Hours,2010,7.6,82.0,339893,18.34,94
476,A Streetcar Named Desire,1951,8.0,97.0,96300,8.0,122
477,Shoplifters,2018,8.0,93.0,54084,3.31,121
478,Captain Phillips,2013,7.8,82.0,408527,107.1,134
479,Andhadhun,2018,8.3,,62492,1.37,139
480,Gone Baby Gone,2007,7.6,72.0,243834,20.3,114
481,Wild Tales,2014,8.1,77.0,167592,3.11,122
482,Creed,2015,7.6,82.0,239872,109.77,133
483,The Seventh Seal,1957,8.2,,156958,,96
484,Dogville,2003,8.0,60.0,133837,1.53,178
485,Kiki's Delivery Service,1989,7.8,83.0,115055,,103
486,The Girl with the Dragon Tattoo,2009,7.8,76.0,205070,10.1,152
487,The Illusionist,2006,7.6,68.0,348817,39.87,110
488,A Bronx Tale,1993,7.8,80.0,123811,17.27,121
489,The Searchers,1956,7.9,94.0,77608,,119
490,The Bourne Supremacy,2004,7.7,73.0,424371,176.24,108
491,Klaus,2019,8.2,65.0,71052,,96
492,The Boondock Saints,1999,7.8,44.0,223658,0.03,108
493,The Magnificent Seven,1960,7.7,74.0,85141,4.91,128
494,Lethal Weapon,1987,7.6,68.0,230593,65.21,109
495,The Holy Mountain,1973,7.9,,34859,0.06,114
496,Dark City,1998,7.6,66.0,183956,14.38,100
497,Cabaret,1972,7.8,80.0,46697,42.77,124
498,Eastern Promises,2007,7.6,82.0,222480,17.11,100
499,Battle Royale,2000,7.6,81.0,165273,,114
500,The Wrestler,2008,7.9,80.0,285000,26.24,109
501,Die Hard with a Vengeance,1995,7.6,58.0,355055,100.01,128
502,Metropolis,1927,8.3,98.0,154494,1.24,153
503,In the Name of the Father,1993,8.1,84.0,151020,25.01,133
504,Planet of the Apes,1968,8.0,79.0,161824,33.4,112
505,Sunset Blvd.,1950,8.4,,193367,,110
506,Dangerous Liaisons,1988,7.6,74.0,62705,34.7,119
507,Midnight Cowboy,1969,7.8,79.0,97593,44.79,113
508,In the Mood for Love,2000,8.1,85.0,117248,2.73,98
509,Seven Pounds,2008,7.6,36.0,280709,69.95,123
510,Monty Python's Life of Brian,1979,8.1,77.0,356038,20.05,94
511,Nausicaä of the Valley of the Wind,1984,8.1,86.0,142186,0.5,117
512,Hachi: A Dog's Tale,2009,8.1,,242880,,93
513,"Paris, Texas",1984,8.1,78.0,84520,2.18,145
514,Carlito's Way,1993,7.9,65.0,194754,36.95,144
515,Enemy at the Gates,2001,7.6,53.0,236340,51.4,131
516,Cool Hand Luke,1967,8.1,92.0,156954,16.22,127
517,The Night of the Hunter,1955,8.0,99.0,79385,0.65,92
518,Falling Down,1993,7.6,56.0,164534,40.9,113
519,Ip Man,2008,8.0,59.0,206270,,106
520,Annie Hall,1977,8.0,92.0,246658,39.2,93
521,Solaris,1972,8.1,90.0,76948,,167
522,In the Heat of the Night,1967,7.9,75.0,65012,24.38,110
523,The Artist,2011,7.9,89.0,225857,44.67,100
524,The Conversation,1974,7.8,85.0,94376,4.42,113
525,Gandhi,1982,8.0,79.0,214075,52.77,191
526,JFK,1991,8.0,72.0,137203,70.41,189
527,The Lego Movie,2014,7.7,83.0,317545,257.76,100
528,A Fistful of Dollars,1964,8.0,65.0,189954,14.5,99
529,Star Trek II: The Wrath of Khan,1982,7.7,67.0,109921,78.91,113
530,The Nightmare Before Christmas,1993,8.0,82.0,283317,75.08,76
531,A Separation,2011,8.3,95.0,211965,7.1,123
532,"Blood In, Blood Out",1993,8.0,47.0,28031,4.5,180
533,Network,1976,8.1,83.0,140364,,121
534,Adaptation.,2002,7.7,83.0,172482,22.25,115
535,Mother,2009,7.8,79.0,47483,0.55,129
536,The Ten Commandments,1956,7.8,,61861,93.74,220
537,Gangs of Wasseypur,2012,8.2,89.0,76367,,321
538,Harakiri,1962,8.7,85.0,35188,,133
539,Short Term 12,2013,8.0,82.0,78594,1.01,96
540,Dirty Harry,1971,7.7,90.0,139337,35.9,102
541,The Bridge on the River Kwai,1957,8.1,87.0,196900,44.91,161
542,For a Few Dollars More,1965,8.3,74.0,223037,15.0,132
543,The Name of the Rose,1986,7.7,54.0,98691,7.15,130
544,Snow White and the Seven Dwarfs,1937,7.6,95.0,175630,184.93,83
545,Perfect Blue,1997,8.0,,52246,0.78,81
546,Doctor Zhivago,1965,8.0,69.0,67691,111.72,197
547,Roman Holiday,1953,8.0,78.0,123538,,118
548,Castle in the Sky,1986,8.0,78.0,143039,,125
549,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,146214,78.76,85
550,Robin Hood,1973,7.6,57.0,111655,32.06,83
551,The Man from Earth,2007,7.9,,169125,,87
552,Pride,2014,7.8,79.0,49848,,119
553,50/50,2011,7.6,72.0,310395,35.01,100
554,Glengarry Glen Ross,1992,7.7,82.0,92993,10.73,100
555,Dancer in the Dark,2000,8.0,61.0,99241,4.18,140
556,I Am Sam,2001,7.7,28.0,140436,40.31,132
557,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,248261,128.08,120
558,Night of the Living Dead,1968,7.9,89.0,112062,0.09,96
559,The Raid 2,2014,8.0,71.0,111045,2.63,150
560,Blood Simple,1984,7.6,81.0,84450,2.15,99
561,Lord of War,2005,7.6,62.0,288208,24.15,122
562,The French Connection,1971,7.7,94.0,106185,15.63,104
563,Ed Wood,1994,7.8,70.0,162210,5.89,127
564,Ran,1985,8.2,96.0,107216,4.14,162
565,Dawn of the Planet of the Apes,2014,7.6,79.0,404552,208.55,130
566,The Wild Bunch,1969,7.9,97.0,75505,12.06,135
567,Ghost in the Shell,1995,8.0,76.0,124112,0.52,83
568,Rise of the Planet of the Apes,2011,7.6,68.0,488309,176.76,105
569,The Body,2012,7.6,,53184,,108
570,Amores Perros,2000,8.1,83.0,217541,5.38,154
571,The Third Man,1949,8.1,97.0,153884,0.45,93
572,Funny Games,1997,7.6,69.0,61853,,108
573,Let the Right One In,2008,7.9,82.0,201537,2.12,114
574,The Insider,1999,7.8,84.0,155968,28.97,157
575,On the Waterfront,1954,8.1,91.0,136998,9.6,108
576,The King of Comedy,1982,7.8,73.0,82480,2.5,109
577,Paths of Glory,1957,8.4,,170245,,88
578,The Longest Day,1962,7.8,75.0,51106,39.1,178
579,Like Stars on Earth,2007,8.4,,158707,1.22,165
580,Flipped,2010,7.7,45.0,78960,1.75,90
581,The Fall,2006,7.9,64.0,105231,2.28,117
582,Naked,1993,7.8,84.0,32825,1.77,132
583,After Hours,1985,7.7,90.0,55676,10.6,97
584,Anatomy of a Murder,1959,8.0,95.0,57675,11.9,161
585,Bonnie and Clyde,1967,7.8,86.0,99400,,111
586,The Treasure of the Sierra Madre,1948,8.2,98.0,110232,5.01,126
587,Papillon,1973,8.0,58.0,118394,53.27,151
588,The Bridges of Madison County,1995,7.6,66.0,70317,71.52,135
589,Hero,2002,7.9,85.0,171200,53.71,120
590,Days of Heaven,1978,7.8,93.0,50206,,94
591,8½,1963,8.0,,105325,0.05,138
592,October Sky,1999,7.8,71.0,79280,32.48,108
593,The Great Beauty,2013,7.8,86.0,77895,2.85,141
594,The Straight Story,1999,8.0,86.0,79172,6.2,112
595,Cold War,2018,7.6,90.0,44587,4.57,89
596,The Wind Rises,2013,7.8,83.0,68595,5.21,126
597,Beasts of No Nation,2015,7.7,79.0,70586,0.08,137
598,Cape Fear,1962,7.7,76.0,25366,,106
599,Mommy,2014,8.1,74.0,47900,3.49,139
600,Persona,1966,8.1,86.0,97083,,83
601,Rebecca,1940,8.1,86.0,118005,4.36,130
602,Midnight Express,1978,7.6,59.0,70910,35.0,121
603,Kramer vs. Kramer,1979,7.8,77.0,127731,106.26,105
604,M,1931,8.3,,137597,0.03,99
605,Badlands,1973,7.8,93.0,63122,,94
606,The Man from Nowhere,2010,7.8,,60084,0.01,119
607,"Synecdoche, New York",2008,7.6,67.0,78445,3.08,124
608,Ordinary People,1980,7.7,86.0,45151,54.8,124
609,The Best Offer,2013,7.8,49.0,104050,0.09,131
610,La Dolce Vita,1960,8.0,95.0,63726,19.52,174
611,Guess Who's Coming to Dinner,1967,7.8,63.0,37864,56.7,108
612,The Outlaw Josey Wales,1976,7.8,69.0,63505,31.8,135
613,Baahubali: The Beginning,2015,8.1,,98982,6.74,159
614,Rope,1948,8.0,73.0,124262,,80
615,Rashomon,1950,8.2,98.0,146223,0.1,88
616,The Killing,1956,8.0,,78756,,84
617,Charade,1963,7.9,83.0,65235,13.47,113
618,How to Train Your Dragon 2,2014,7.8,76.0,296105,177.0,102
619,Paddington 2,2017,7.8,88.0,56861,40.44,103
620,Modern Times,1936,8.5,96.0,208484,0.16,87
621,Evil Dead II,1987,7.8,69.0,143517,5.92,84
622,Rushmore,1998,7.7,86.0,164504,17.11,93
623,National Lampoon's Christmas Vacation,1989,7.6,49.0,147658,71.32,97
624,Sling Blade,1996,8.0,84.0,85244,24.48,135
625,Awakenings,1990,7.8,74.0,119352,52.1,121
626,The Last Emperor,1987,7.7,76.0,90879,43.98,163
627,The Great Dictator,1940,8.4,,195042,0.29,125
628,Detachment,2011,7.7,52.0,74022,0.07,98
629,Cinderella Man,2005,8.0,69.0,172522,61.65,144
630,Witness for the Prosecution,1957,8.4,,102660,8.18,116
631,Three Colors: Blue,1993,7.9,85.0,85164,1.32,94
632,Whisper of the Heart,1995,7.9,75.0,47211,,111
633,The Iron Giant,1999,8.0,85.0,166765,23.16,86
634,All About Eve,1950,8.2,98.0,116445,0.01,138
635,21 Grams,2003,7.7,70.0,220183,16.29,124
636,Sing Street,2016,7.9,79.0,81712,3.24,106
637,Hamlet,1996,7.7,,35343,4.41,242
638,Hotel Rwanda,2004,8.1,79.0,327052,23.53,121
639,My Left Foot,1989,7.9,97.0,65467,14.74,103
640,Arsenic and Old Lace,1944,8.0,,63741,,118
641,The Man Who Shot Liberty Valance,1962,8.1,94.0,66578,,123
642,This Is England,2006,7.7,86.0,113635,0.33,101
643,Sabrina,1954,7.7,72.0,57063,,113
644,All the President's Men,1976,8.0,84.0,98744,70.6,138
645,Where Eagles Dare,1968,7.7,63.0,50210,,158
646,Breathless,1960,7.9,,70218,0.34,90
647,Black Book,2006,7.7,71.0,71102,4.4,145
648,The Dirty Dozen,1967,7.7,73.0,65162,45.3,150
649,The Right Stuff,1983,7.8,91.0,54554,21.5,193
650,Giant,1956,7.6,84.0,32936,0.18,201
651,Dawn of the Dead,1978,7.9,71.0,108397,5.1,127
652,Mary and Max,2009,8.1,,159679,,92
653,The Secret World of Arrietty,2010,7.6,80.0,76028,19.2,94
654,Miller's Crossing,1990,7.8,66.0,122987,5.08,115
655,Nosferatu,1922,7.9,,85851,,94
656,My Fair Lady,1964,7.8,95.0,84064,72.0,170
657,Clerks,1994,7.7,70.0,208280,3.15,92
658,Hedwig and the Angry Inch,2001,7.7,85.0,31214,3.03,95
659,What Ever Happened to Baby Jane?,1962,8.1,75.0,48263,4.05,134
660,All That Jazz,1979,7.9,72.0,26770,37.82,123
661,Rio Bravo,1959,8.0,,54147,12.54,141
662,Finding Neverland,2004,7.7,67.0,195506,51.68,106
663,Three Colors: Red,1994,8.1,100.0,86524,4.04,99
664,Chungking Express,1994,8.1,77.0,58923,0.6,102
665,Paper Moon,1973,8.1,77.0,40784,30.93,102
666,The Last King of Scotland,2006,7.7,74.0,171820,17.61,123
667,Fiddler on the Roof,1971,8.0,67.0,37707,80.5,181
668,Dial M for Murder,1954,8.2,75.0,151322,0.01,105
669,Fanny and Alexander,1982,8.1,100.0,55526,4.97,188
670,Double Indemnity,1944,8.3,95.0,137902,5.72,107
671,The Maltese Falcon,1941,8.0,96.0,145786,2.11,100
672,Blow-Up,1966,7.6,82.0,54364,,111
673,Being There,1979,8.0,83.0,63604,30.18,130
674,Me and Earl and the Dying Girl,2015,7.7,74.0,119529,6.74,105
675,The Philadelphia Story,1940,7.9,96.0,61487,,112
676,Withnail & I,1987,7.7,84.0,38961,1.54,107
677,Manhattan,1979,7.9,83.0,128100,45.7,96
678,The Hustler,1961,8.0,90.0,73494,,134
679,Letters from Iwo Jima,2006,7.9,89.0,151271,13.76,141
680,Porco Rosso,1992,7.7,83.0,72385,,94
681,Belle de Jour,1967,7.7,,38635,0.03,100
682,Mysterious Skin,2004,7.6,73.0,64523,0.7,105
683,Lucky Number Slevin,2006,7.7,53.0,295671,22.49,110
684,Wings of Desire,1987,8.0,79.0,62194,3.33,128
685,Loving Vincent,2017,7.8,62.0,47244,6.74,94
686,Barton Fink,1991,7.7,69.0,109849,6.15,116
687,A Little Princess,1995,7.7,83.0,31158,10.02,97
688,Freaks,1932,7.9,80.0,40751,,64
689,Zulu,1964,7.7,77.0,34834,,138
690,King Kong,1933,7.9,90.0,76930,10.0,100
691,Contempt,1963,7.6,,27402,0.04,102
692,Pink Floyd: The Wall,1982,8.1,47.0,74066,22.24,95
693,The Message,1976,8.2,,42490,,177
694,The Chaser,2008,7.9,64.0,55344,,125
695,Harold and Maude,1971,7.9,62.0,68771,,91
696,Strangers on a Train,1951,8.0,88.0,119922,7.63,101
697,"Planes, Trains & Automobiles",1987,7.6,72.0,118110,49.53,93
698,Victoria,2015,7.6,77.0,49797,,138
699,The Muppet Movie,1979,7.6,74.0,31517,76.66,95
700,High Noon,1952,7.9,89.0,94846,9.45,85
701,Kelly's Heroes,1970,7.6,50.0,43926,1.38,144
702,The Tenant,1976,7.7,,37839,1.92,126
703,East of Eden,1955,7.9,72.0,38977,,118
704,Zindagi Na Milegi Dobara,2011,8.1,,64389,3.11,155
705,The Mirror,1975,8.1,,37344,0.18,107
706,Land of Mine,2015,7.8,75.0,32978,0.44,100
707,Lady Vengeance,2005,7.6,75.0,69480,0.21,115
708,Kubo and the Two Strings,2016,7.8,84.0,113862,48.02,101
709,Ninja Scroll,1993,7.9,,33491,,94
710,Breaking the Waves,1996,7.8,76.0,60606,4.04,159
711,The Killing Fields,1984,7.8,76.0,49951,34.7,141
712,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,35152,,87
713,Key Largo,1948,7.8,,35974,,100
714,Amour,2012,7.9,94.0,90357,6.74,127
715,Run Lola Run,1998,7.6,77.0,184947,7.27,80
716,Fantasia,1940,7.8,96.0,86075,76.41,125
717,Notorious,1946,7.9,100.0,89540,10.46,102
718,The Hurricane,1999,7.6,74.0,89569,50.67,146
719,The Tale of The Princess Kaguya,2013,8.0,89.0,35184,1.51,137
720,Touch of Evil,1958,8.0,99.0,96226,2.24,95
721,Bicycle Thieves,1948,8.3,,139430,0.33,89
722,Eyes Without a Face,1960,7.7,90.0,25671,0.05,90
723,The Manchurian Candidate,1962,7.9,94.0,69783,,126
724,The Day of the Jackal,1973,7.8,80.0,36166,16.06,143
725,The Quiet Man,1952,7.7,,33559,10.55,129
726,When Marnie Was There,2014,7.7,72.0,29383,0.77,103
727,The Big Sleep,1946,7.9,,76972,6.54,114
728,The African Queen,1951,7.7,91.0,69614,0.54,105
729,The 400 Blows,1959,8.1,,100468,,99
730,It Happened One Night,1934,8.1,87.0,90306,4.36,105
731,Perfectos desconocidos,2016,7.8,,53438,,96
732,Dead Man,1995,7.6,62.0,88006,1.04,121
733,La Vie En Rose,2007,7.6,66.0,80863,10.3,140
734,The Adventures of Robin Hood,1938,7.9,97.0,45880,3.98,102
735,Paprika,2006,7.7,81.0,67242,0.88,90
736,Good Bye Lenin!,2003,7.7,68.0,134825,4.06,121
737,Stagecoach,1939,7.9,93.0,41570,,96
738,City Lights,1931,8.5,99.0,160434,0.02,87
739,Nebraska,2013,7.7,87.0,109870,17.65,115
740,Repulsion,1965,7.7,91.0,47150,,105
741,The Secret of NIMH,1982,7.6,76.0,35106,10.14,82
742,Lagaan: Once Upon a Time in India,2001,8.1,84.0,101107,0.07,224
743,Drishyam,2015,8.2,,63890,0.74,163
744,Children of Heaven,1997,8.3,,61122,0.93,89
745,Once,2007,7.8,88.0,108492,9.44,86
746,Tokyo Story,1953,8.2,,49317,,136
747,Andrei Rublev,1966,8.1,,43954,0.1,205
748,Yojimbo,1961,8.2,,105883,,110
749,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,74938,2.38,103
750,Happiness,1998,7.7,81.0,64963,2.81,134
751,Wild Strawberries,1957,8.2,88.0,91444,,91
752,The Lion in Winter,1968,7.9,,28212,22.28,134
753,Judgment at Nuremberg,1961,8.2,60.0,66495,,179
754,Infernal Affairs,2002,8.0,75.0,115701,0.17,101
755,Patton,1970,7.9,91.0,91788,61.7,172
756,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,188928,52.01,81
757,3-Iron,2004,8.0,72.0,48124,0.24,88
758,Watership Down,1978,7.6,64.0,32742,,91
759,The Lunchbox,2013,7.8,76.0,47948,4.23,104
760,5 Centimeters Per Second,2007,7.6,,48434,,63
761,Volver,2006,7.6,84.0,92457,12.9,121
762,Thank You for Smoking,2005,7.6,71.0,210516,24.79,92
763,Shadow of a Doubt,1943,7.8,94.0,57363,,108
764,Night on Earth,1991,7.8,68.0,53488,2.02,129
765,Three Colors: White,1994,7.6,88.0,60916,1.46,92
766,On Golden Pond,1981,7.6,68.0,26761,119.29,109
767,"Duck, You Sucker",1971,7.6,77.0,28746,0.7,138
768,Throne of Blood,1957,8.1,,43867,,110
769,"Aguirre, the Wrath of God",1972,7.9,,50212,,95
770,All About My Mother,1999,7.8,87.0,86215,8.26,101
771,The Day the Earth Stood Still,1951,7.7,,74961,,92
772,K.G.F: Chapter 1,2018,8.2,,30343,,156
773,Uri: The Surgical Strike,2019,8.3,,39943,4.19,138
774,Ikiru,1952,8.3,,64222,0.06,143
775,All Quiet on the Western Front,1930,8.0,91.0,55896,3.27,152
776,Sympathy for Mr. Vengeance,2002,7.6,56.0,60325,0.05,129
777,The Man Who Would Be King,1975,7.8,91.0,42783,,129
778,Fitzcarraldo,1982,8.1,,29986,,158
779,Short Cuts,1993,7.7,79.0,41287,6.11,188
780,Waking Life,2001,7.8,82.0,59496,2.89,99
781,Cat on a Hot Tin Roof,1958,8.0,84.0,43381,17.57,108
782,Underground,1995,8.1,,53767,0.17,167
783,Open Your Eyes,1997,7.8,,62381,0.37,117
784,Talk to Her,2002,7.9,86.0,102045,9.28,112
785,Head-On,2004,7.9,78.0,49669,,121
786,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,67133,,131
787,Anand,1971,8.6,,26745,,122
788,High and Low,1963,8.5,,29818,,143
789,The Legend of 1900,1998,8.1,58.0,56767,0.26,169
790,Tangerines,2013,8.2,73.0,36904,0.14,87
791,Kal ho naa ho,2003,8.0,54.0,61238,1.79,186
792,A Christmas Story,1983,7.9,77.0,127343,20.61,94
793,Rang De Basanti,2006,8.2,,107445,2.2,167
794,A Hard Day's Night,1964,7.6,96.0,38931,13.78,87
795,Leviathan,2014,7.6,92.0,47367,1.09,140
796,The Best Years of Our Lives,1946,8.0,93.0,55863,23.65,170
797,The Cabinet of Dr. Caligari,1920,8.1,,54843,,67
798,The Double Life of Véronique,1991,7.8,86.0,39824,2.0,98
799,The Invisible Man,1933,7.7,87.0,28907,,71
800,Frankenstein,1931,7.8,91.0,62686,,70
801,Delicatessen,1991,7.6,66.0,78634,1.79,99
802,Hannah and Her Sisters,1986,7.9,90.0,65107,40.08,107
803,Bride of Frankenstein,1935,7.8,95.0,41788,4.36,75
804,The Kid,1921,8.3,,107360,5.45,68
805,Song of the Sea,2014,8.1,85.0,48541,0.86,93
806,A Man Called Ove,2015,7.7,70.0,44179,3.36,116
807,The Little Prince,2015,7.7,70.0,54374,1.34,108
808,The White Ribbon,2009,7.8,82.0,66786,2.22,144
809,Queen,2013,8.2,,58411,1.43,146
810,"I, Daniel Blake",2016,7.9,78.0,50601,0.26,100
811,Sueño de Invierno,2014,8.1,88.0,43188,0.17,196
812,The Conformist,1970,8.0,100.0,25628,0.54,113
813,The Motorcycle Diaries,2004,7.8,75.0,94794,16.76,126
814,Control,2007,7.7,78.0,60299,0.87,122
815,The Red Shoes,1948,8.1,,29411,10.9,135
816,The Grapes of Wrath,1940,8.0,96.0,84143,0.06,129
817,In America,2002,7.7,76.0,39891,15.54,105
818,The Diving Bell and the Butterfly,2007,8.0,92.0,101480,5.99,112
819,A Very Long Engagement,2004,7.6,76.0,69935,6.17,133
820,The Wave,2008,7.6,,99912,,107
821,His Girl Friday,1940,7.9,,51635,0.3,92
822,The Verdict,1982,7.7,77.0,34494,54.0,129
823,Mr. Smith Goes to Washington,1939,8.1,73.0,103517,9.6,129
824,My Name Is Khan,2010,8.0,50.0,95714,4.02,165
825,The Battle of Algiers,1966,8.1,96.0,50259,0.06,121
826,A Prophet,2009,7.9,90.0,91474,2.08,155
827,Secrets & Lies,1996,8.0,91.0,35832,13.42,136
828,Loveless,2017,7.6,86.0,27782,0.57,127
829,Red River,1948,7.8,,27099,,133
830,The Hidden Fortress,1958,8.1,,32571,,126
831,The Exterminating Angel,1962,8.1,,28320,,95
832,Le Samouraï,1967,8.1,,43187,0.04,101
833,Once Were Warriors,1994,7.9,77.0,30677,2.2,102
834,Dead Man's Shoes,2004,7.6,52.0,48238,0.01,90
835,Pink,2016,8.1,,36706,1.24,136
836,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,36785,0.2,102
837,Stalag 17,1953,8.0,84.0,49985,,120
838,Bajrangi Bhaijaan,2015,8.0,,68881,8.18,163
839,The Vanishing,1988,7.7,,32542,,107
840,The Circus,1928,8.2,90.0,25477,,72
841,The Taking of Pelham One Two Three,1974,7.7,68.0,25415,,104
842,Confessions,2010,7.8,,34469,,106
843,Swades,2004,8.2,,79809,1.22,189
844,Bhaag Milkha Bhaag,2013,8.2,,58602,1.63,186
845,Amarcord,1973,7.9,,38361,,123
846,Elite Squad,2007,8.1,33.0,95885,0.01,115
847,Talvar,2015,8.2,,29102,0.34,132
848,The Magdalene Sisters,2002,7.7,83.0,25446,4.89,114
849,The Bandit,1996,8.3,,61016,,128
850,The Lady Vanishes,1938,7.8,,45614,,96
851,The Wages of Fear,1953,8.1,,52198,,131
852,The Broken Circle Breakdown,2012,7.8,70.0,38354,0.18,111
853,A Man for All Seasons,1966,7.7,72.0,30173,28.35,120
854,The Thin Man,1934,8.0,,25516,,91
855,Gilda,1946,7.7,,26812,,110
856,To Have and Have Not,1944,7.8,,29940,,100
857,Sleuth,1972,8.0,,43769,4.08,138
858,Invasion of the Body Snatchers,1956,7.7,92.0,43443,,80
859,To Be or Not to Be,1942,8.2,86.0,26331,,99
860,Crimes and Misdemeanors,1989,7.9,77.0,53106,18.25,104
861,Peeping Tom,1960,7.7,,29659,0.08,101
862,Ivan's Childhood,1962,8.1,,29666,,84
863,Hera Pheri,2000,8.2,,53637,,156
864,Ayla: The Daughter of War,2017,8.5,,31662,,125
865,The Girl Who Leapt Through Time,2006,7.8,,57766,,98
866,The Return,2003,8.0,82.0,40954,0.5,110
867,Wolf Children,2012,8.1,71.0,36417,,117
868,Badhaai Ho,2018,8.0,,25378,,124
869,Udaan,2010,8.2,,41028,0.01,134
870,Cries & Whispers,1972,8.1,,28648,1.74,91
871,Wait Until Dark,1967,7.8,81.0,26865,17.55,108
872,Interstate 60: Episodes of the Road,2002,7.7,,29104,,116
873,The Salesman,2016,7.8,85.0,47746,2.4,124
874,Once Upon a Time in Anatolia,2011,7.9,82.0,39221,0.14,157
875,The Sea Inside,2004,8.0,74.0,75812,2.09,126
876,Lilya 4-Ever,2002,7.8,82.0,41513,0.18,109
877,Sweet Smell of Success,1957,8.1,100.0,26849,,96
878,Inherit the Wind,1960,8.1,75.0,26329,,128
879,Pierrot le Fou,1965,7.6,,27947,,110
880,The Innocents,1961,7.8,88.0,25583,2.62,100
881,The Celebration,1998,8.0,82.0,75970,1.65,105
882,The 39 Steps,1935,7.6,93.0,49837,,86
883,My Sassy Girl,2001,8.0,,44343,,123
884,Bringing Up Baby,1938,7.9,91.0,53383,,102
885,Batman: Mask of the Phantasm,1993,7.8,,41261,5.62,76
886,Kagemusha,1980,8.0,84.0,30810,,162
887,The Station Agent,2003,7.6,81.0,66290,5.74,89
888,Raise the Red Lantern,1991,8.1,,28277,2.6,125
889,Laura,1944,8.0,,41178,4.36,88
890,Mustang,2015,7.6,83.0,34105,0.85,97
891,Munna Bhai M.B.B.S.,2003,8.1,,70671,,156
892,Death Note,2006,7.7,,28012,,126
893,Sunrise,1927,8.1,,45670,0.54,94
894,The World's Fastest Indian,2005,7.8,68.0,50874,5.13,127
895,About Elly,2009,8.0,87.0,42834,0.11,119
896,Haider,2014,8.1,,48712,0.9,160
897,Au Revoir les Enfants,1987,8.0,,30142,4.54,104
898,Baahubali 2: The Conclusion,2017,8.2,,71395,20.19,167
899,Cowboy Bebop: The Movie,2001,7.9,61.0,41564,1.0,115
900,A Wednesday,2008,8.1,,71826,,104
901,The General,1926,8.1,,77741,1.03,67
902,Hard Boiled,1992,7.8,,45559,,128
903,Out of the Past,1947,8.0,,31364,,97
904,The Experiment,2001,7.7,60.0,89612,0.14,120
905,Lupin the 3rd: Castle of Cagliostro,1979,7.7,71.0,25367,,102
906,Kahaani,2012,8.1,,55546,1.04,122
907,Udta Punjab,2016,7.8,,25641,,148
908,Shine,1996,7.7,87.0,50241,35.81,105
909,"Black Cat, White Cat",1998,8.1,73.0,49502,0.35,127
910,L'Avventura,1960,7.9,,25244,,144
911,The Past,2013,7.8,85.0,43726,1.33,130
912,The Odd Couple,1968,7.7,86.0,30583,44.53,105
913,My Father and My Son,2005,8.3,,75189,,112
914,Paan Singh Tomar,2012,8.2,,31773,0.04,135
915,The Passion of Joan of Arc,1928,8.1,,45052,0.02,114
916,Rififi,1955,8.2,97.0,25000,0.06,118
917,Down by Law,1986,7.8,75.0,46416,1.44,107
918,La Strada,1954,8.0,,56367,,108
919,The Gold Rush,1925,8.2,,96064,5.45,95
920,Duck Soup,1933,7.8,93.0,54384,,69
921,Sholay,1975,8.2,,49654,,162
922,Airlift,2016,8.0,,51336,,130
923,Diabolique,1955,8.0,,59831,,117
924,Dilwale Dulhania Le Jayenge,1995,8.1,,61191,,181
925,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,55033,1.19,113
926,Persepolis,2007,8.0,90.0,86362,4.45,96
927,In a Better World,2010,7.6,65.0,37748,1.01,118
928,Fearless,2006,7.6,70.0,71735,24.63,104
929,Love Me If You Dare,2003,7.6,45.0,66014,0.55,93
930,Nights of Cabiria,1957,8.1,,41379,0.75,110
931,Dil Chahta Hai,2001,8.1,,64628,0.3,183
932,Brief Encounter,1945,8.0,92.0,34089,,86
933,White Heat,1949,8.1,,28606,,114
