,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
101,Scarface,1983,8.3,65.0,713457,45.6,170
102,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,172191,4.0,100
103,Casino Royale,2006,8.0,80.0,566304,167.45,144
104,Spirited Away,2001,8.6,96.0,616480,10.06,125
105,Apocalypto,2006,7.8,68.0,283740,50.87,139
106,Memento,2000,8.4,80.0,1088554,25.54,113
107,Moana,2016,7.6,81.0,255366,248.76,107
108,The Lord of the Rings: The Two Towers,2002,8.7,87.0,1437805,342.55,179
109,The Breakfast Club,1985,7.9,66.0,343218,45.88,97
110,Requiem for a Dream,2000,8.3,68.0,742087,3.64,102
111,Ferris Bueller's Day Off,1986,7.8,61.0,309550,70.14,103
112,The Social Network,2010,7.7,95.0,603047,96.96,120
113,La La Land,2016,8.0,94.0,481246,151.1,128
114,Captain America: Civil War,2016,7.8,75.0,637476,408.08,147
115,The Curious Case of Benjamin Button,2008,7.8,70.0,571208,127.51,166
116,The Avengers,2012,8.0,69.0,1234837,623.28,143
117,Marriage Story,2019,8.0,94.0,217924,,137
118,The Usual Suspects,1995,8.5,77.0,960214,23.34,106
119,X-Men: First Class,2011,7.7,65.0,633505,146.41,131
120,Deadpool,2016,8.0,65.0,874901,363.07,108
121,Apollo 13,1995,7.6,77.0,260015,173.84,140
122,Blade Runner,1982,8.1,84.0,671844,32.87,117
123,Deadpool 2,2018,7.7,66.0,454101,324.59,119
124,Baby Driver,2017,7.6,86.0,414366,107.83,113
125,The Terminator,1984,8.0,84.0,777741,38.4,107
126,Love Actually,2003,7.6,55.0,413411,59.7,135
127,The Hangover,2009,7.7,73.0,701452,277.32,100
128,Logan,2017,8.1,77.0,619731,226.28,137
129,Her,2013,8.0,90.0,516984,25.57,126
130,American Beauty,1999,8.3,84.0,1041680,130.1,122
131,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,527426,249.36,142
132,The Lion King,1994,8.5,88.0,908492,422.78,88
133,The Grand Budapest Hotel,2014,8.1,88.0,680513,59.1,99
134,Heat,1995,8.2,76.0,556725,67.44,170
135,Aliens,1986,8.3,84.0,634167,85.16,137
136,American Psycho,2000,7.6,64.0,466909,15.07,101
137,The Big Lebowski,1998,8.1,71.0,704339,17.5,117
138,Kill Bill: Vol. 1,2003,8.1,69.0,968754,70.1,111
139,Sicario,2015,7.6,82.0,356174,46.89,121
140,Star Trek,2009,7.9,82.0,569654,257.73,127
141,Drive,2011,7.8,78.0,553641,35.06,100
142,American History X,1998,8.5,62.0,1006023,6.72,119
143,"The Good, the Bad and the Ugly",1966,8.8,90.0,665620,6.1,178
144,Good Will Hunting,1997,8.3,70.0,828403,138.43,126
145,Terminator 2: Judgment Day,1991,8.5,75.0,966963,204.84,137
146,There Will Be Blood,2007,8.2,93.0,497177,40.22,158
147,Full Metal Jacket,1987,8.3,76.0,651610,46.36,116
148,Remember the Titans,2000,7.8,48.0,192640,115.65,113
149,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,880895,34.4,108
150,The Perks of Being a Wallflower,2012,8.0,67.0,447333,17.74,103
151,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1123079,290.48,124
152,Hacksaw Ridge,2016,8.1,71.0,411587,67.21,139
153,Dazed and Confused,1993,7.6,78.0,159224,7.99,102
154,Braveheart,1995,8.3,68.0,935541,75.6,178
155,Airplane!,1980,7.7,78.0,204612,83.4,88
156,Zootopia,2016,8.0,78.0,416353,341.27,108
157,Iron Man,2008,7.9,79.0,914444,318.41,126
158,The Handmaiden,2016,8.1,84.0,101062,2.01,145
159,Wonder,2017,8.0,66.0,130927,132.42,113
160,12 Angry Men,1957,8.9,96.0,660199,4.36,96
161,Minority Report,2002,7.6,80.0,494560,132.07,145
162,The Blues Brothers,1980,7.9,60.0,176744,57.23,133
163,Toy Story 3,2010,8.3,92.0,733797,415.0,103
164,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,920869,309.13,131
165,Die Hard,1988,8.2,72.0,762234,83.01,132
166,The Peanut Butter Falcon,2019,7.6,70.0,42072,13.12,97
167,Back to the Future Part II,1989,7.8,57.0,461063,118.5,108
168,True Romance,1993,7.9,59.0,200325,12.28,119
169,Arrival,2016,7.9,81.0,568354,100.55,116
170,Snatch,2000,8.3,55.0,760558,30.33,102
171,300,2006,7.6,52.0,718738,210.61,117
172,The Martian,2015,8.0,80.0,733565,228.43,144
173,The Notebook,2004,7.8,53.0,503008,81.0,123
174,2001: A Space Odyssey,1968,8.3,84.0,581543,56.95,149
175,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,458196,295.98,146
176,Ex Machina,2014,7.7,78.0,457205,25.44,108
177,Catch Me If You Can,2002,8.1,75.0,788796,164.62,141
178,The Big Short,2015,7.8,81.0,343598,70.26,130
179,Oldboy,2003,8.4,77.0,495630,0.71,120
180,The Revenant,2015,8.0,76.0,677555,183.64,156
181,One Flew Over the Cuckoo's Nest,1975,8.7,83.0,883407,112.0,133
182,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88.0,402952,54.51,115
183,Stand by Me,1986,8.1,75.0,351950,52.29,89
184,Edge of Tomorrow,2014,7.9,71.0,580862,100.21,113
185,The Truman Show,1998,8.1,90.0,898663,125.62,103
186,Reservoir Dogs,1992,8.3,79.0,888343,2.83,99
187,The Girl with the Dragon Tattoo,2011,7.8,71.0,408389,102.52,158
188,Black Swan,2010,8.0,79.0,681539,106.95,108
189,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,840276,936.66,138
190,North by Northwest,1959,8.3,98.0,288699,13.28,136
191,Your Name.,2016,8.4,79.0,171967,5.02,106
192,Tombstone,1993,7.8,50.0,121749,56.51,130
193,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,587671,258.37,161
194,Come and See,1985,8.3,,51672,,142
195,Mulholland Drive,2001,8.0,85.0,309169,7.22,147
196,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,452895,301.96,153
197,The Sixth Sense,1999,8.1,64.0,887643,293.51,107
198,Pride & Prejudice,2005,7.8,82.0,244308,38.41,129
199,Primal Fear,1996,7.7,47.0,178263,56.12,129
200,The Invisible Guest,2016,8.1,,121510,,106
201,Kingsman: The Secret Service,2014,7.7,60.0,575007,128.26,129
202,Unforgiven,1992,8.2,85.0,363361,101.16,130
203,Boyz n the Hood,1991,7.7,76.0,120180,57.5,112
204,Indiana Jones and the Last Crusade,1989,8.2,65.0,671146,197.17,127
205,The Warriors,1979,7.6,65.0,90790,22.49,92
